Application,Application ID,Platform,Platform ID
The House of Da Vinci 3,1400493299315507331,xbox,9NT1S0NL51CC
Dungeons & Dragons Neverwinter Nights 2: Enhanced Edition,1400508392195363036,xbox,9NS7KLP387H6
Dakar Desert Rally,1400659376259465428,xbox,9NR8XCHPPWMR
Dakar Desert Rally,1400659376259465428,xbox,9MSQ62J678QF
Everafter Falls,1400961363152601190,xbox,9NFZ07Q58M6N
Titan Quest II,1400976452026892319,xbox,9NW45BDHKNMQ
ISLANDERS: New Shores,1401278472630042806,xbox,9PL354PNMMRD
ISLANDERS: New Shores,1401278472630042806,xbox,9S90RN9H64CB
Deployment,1401339031127855104,xbox,C1ZJGF2JXSHM
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles 2,1401655946991636680,xbox,9P654K0TV40S
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles 2,1401655946991636680,xbox,9P95J9QZ0SW4
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles 2,1401655946991636680,xbox,9NCV4N00N94J
KARMA: The Dark World,1402259914453156003,xbox,9MSSLW12PFSP
KARMA: The Dark World,1402259914453156003,xbox,9PBTRH54WM9Q
Let Them Come,1402416498974392381,xbox,C196KH923DBG
Owlboy,1402416505508860057,xbox,C1PHTB54976G
Moon Hunters,1402416620810539139,xbox,BXQLCH4PF1PD
Dawn of Man,1402416645204475924,xbox,9NDBG69LCSPJ
Tom Clancy's The Division 2,1402416649495122141,xbox,BVQ3V30ZXVT5
Tom Clancy's The Division 2,1402416649495122141,xbox,9NRXKRVCGRNM
Verdun,1402416661880901673,xbox,C1N8H8WTPDSC
Furi,1402416666113212478,xbox,BP8RRGC7X0PJ
The Banner Saga 2,1402416693933772830,xbox,BRDV9ZW67F96
Hitman: Absolution,1402416696505143306,xbox,BXHQB8CKJNVR
Assassin's Creed,1402416702695673906,xbox,BZC8PXK6S00G
Assassin's Creed II,1402416704507875480,xbox,9NN1M88HL5M6
Assassin's Creed II,1402416704507875480,xbox,BNVMH8NVCRCT
Forza Motorsport 7,1402416716868489318,xbox,9N3NK5WW05HT
Forza Motorsport 7,1402416716868489318,xbox,9NSNSBW1JTJX
ANTHEM,1402416721909780620,xbox,BP9JQBJM0FNW
ANTHEM,1402416721909780620,xbox,9PKRFH8LH70C
Witch It,1402416730554503289,xbox,9P77LJ8Z76HG
The Banner Saga,1402416735277027359,xbox,9N6FKS90K50G
The Banner Saga,1402416735277027359,xbox,BSRVV8TJGVVZ
Rivals of Aether,1402416737911312495,xbox,BWSQ6832LWNL
Screencheat,1402416742264737902,xbox,BPJPX9FHSBXF
Pit People,1402416744865468557,xbox,BNRN5CLM2ZQH
BattleBlock Theater,1402416746438328422,xbox,BQ30J3N2LPZX
"Cook, Serve, Delicious! 2!!",1402416753677697146,xbox,9P6X1T5X3CMC
Gwent: The Witcher Card Game,1402416769486032967,xbox,9NBLGGH51QT4
Northgard,1402416801039519837,xbox,9NS90JN63VN7
Unturned,1402416803866738808,xbox,9N81WS04WNR5
Starbound,1402416810229497917,xbox,9PD5W1TZ6GWC
Starbound,1402416810229497917,xbox,9MTSBWPWPQVQ
