Application,Application ID,Platform,Platform ID
Urban Ninja,1440137989341843570,,
Chaos Zero Nightmare,1440138508483166249,,
Stella Sora,1440138512451244063,,
Cell: Idle Factory Incremental,1440138721843482634,,
FLOCKOUT,1440138723307159682,,
Fight Night Champion,1440138933194195256,,
Asura's Wrath,1440138955654959254,,
Tekken Tag Tournament 2,1440138964567720090,,
Crackdown,1440138977335050250,,
Doritos Crash Course,1440139023333982270,,
SSX,1440139025464954931,,
Ninja Gaiden II: The Dark Sword of Chaos,1440139054355320872,,
Dark Cloud,1440139056188096562,,
Dark Souls,1440139059157532805,,
Daxter,1440139065776410624,,
Silent Hill HD Collection,1440139085027999897,,
Empire: Total War,1440139121883349032,,
Block Factory,1440139156897530007,,
Rayman 3 HD,1440139162056392704,,
Sonic CD,1440139180847140997,,
The Legend of Dragoon,1440139200451182592,,
Injustice: Gods Among Us,1440139217538912256,,
Sly 3: Honor Among Thieves,1440139232554385599,,
Sly Cooper and the Thievius Raccoonus,1440139252066156725,,
Sonic the Fighters,1440139290758742126,,
SSX 3,1440139307896537120,,
Knack,1440139338858889276,,
Killzone: Shadow Fall,1440139342302679120,,
Driveclub,1440139347012747326,,
inFAMOUS: Second Son,1440139352255496353,,
FIFA 14 Mobile,1440139380885946368,,
The Order: 1886,1440139440109518848,,
Pinball Heroes,1440139457461489865,,
Gravity Rush 2,1440139526952587347,,
The PlayRoom,1440139555129786398,,
Uncharted 4: A Thief's End,1440139592396308560,,
Persona 5,1440139605557903471,,
Bully,1440139609400152084,,
Persona 4: Dancing All Night,1440139620787552338,,
Candy Crush Saga,1440139657655353394,,
Army of Two,1440139677557456906,,
The Last of Us Remastered,1440139726106661018,,
Skylanders: Trap Team,1440139743366086768,,
The Warriors,1440139756510904503,,
Bloodborne,1440139778141196421,,
Ratchet & Clank,1440139815051071588,,
LittleBigPlanet 3,1440139820205736036,,
TimeSplitters 2,1440139868477849731,,
Trivial Pursuit Live!,1440139894960816329,,
Alienation,1440139901143089152,,
Everybody's Golf,1440139944130510981,,
God of War III: Remastered,1440140183675867156,,
Gravity Rush Remastered,1440140194140655656,,
SCP: Containment Breach,1440140258636333086,,
